"Exporter","Importer","Year","App.","Taxon","Class","Order","Family","Genus","Origin","Importer.reported.quantity","Exporter.reported.quantity","Term","Unit","Purpose","Source","id","importer_country","importer_iso3","importer_code","importer_lat","importer_long","exporter_country","exporter_iso3","exporter_code","exporter_lat","exporter_long"
"CH","GB",2011,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",NA,52,"ivory carvings","","P","O",6377,"United Kingdom","GBR",826,54,-2,"Switzerland","CHE",756,47,8
"CH","NL",2009,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",1,NA,"ivory pieces","","T","O",5807,"Netherlands","NLD",528,52.5,5.75,"Switzerland","CHE",756,47,8
"CH","HK",1996,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",NA,1,"ivory pieces","","","O",2041,"Hong Kong","HKG",344,22.25,114.1667,"Switzerland","CHE",756,47,8
"CH","CN",2013,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",NA,10,"ivory carvings","","E","O",7119,"China","CHN",156,35,105,"Switzerland","CHE",756,47,8
"CH","NL",2004,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",7,NA,"carvings","","L","O",4469,"Netherlands","NLD",528,52.5,5.75,"Switzerland","CHE",756,47,8
"CH","CZ",2004,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",NA,8,"ivory carvings","","","O",4361,"Czech Republic","CZE",203,49.75,15.5,"Switzerland","CHE",756,47,8
"CH","US",2015,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",NA,2,"ivory carvings","","T","O",8061,"United States","USA",840,38,-97,"Switzerland","CHE",756,47,8
"CH","DE",2006,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",2,NA,"tusks","","P","O",4886,"Germany","DEU",276,51,9,"Switzerland","CHE",756,47,8
"CH","GB",2000,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",NA,36,"ivory carvings","","","O",3222,"United Kingdom","GBR",826,54,-2,"Switzerland","CHE",756,47,8
"CH","US",1980,"II","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",2,NA,"ivory carvings","","T","",95,"United States","USA",840,38,-97,"Switzerland","CHE",756,47,8
"CH","CN",2009,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",NA,10,"ivory carvings","","T","O",5702,"China","CHN",156,35,105,"Switzerland","CHE",756,47,8
"CH","IT",1997,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",NA,117,"ivory carvings","","","O",2316,"Italy","ITA",380,42.8333,12.8333,"Switzerland","CHE",756,47,8
"CH","BE",2015,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",NA,7,"ivory carvings","","T","O",7874,"Belgium","BEL",56,50.8333,4,"Switzerland","CHE",756,47,8
"CH","FR",2007,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",2,18,"ivory carvings","","T","O",5151,"France","FRA",250,46,2,"Switzerland","CHE",756,47,8
"CH","GB",1980,"II","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",NA,35,"ivory carvings","","","",84,"United Kingdom","GBR",826,54,-2,"Switzerland","CHE",756,47,8
"CH","PT",2005,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",NA,3,"ivory carvings","","","O",4736,"Portugal","PRT",620,39.5,-8,"Switzerland","CHE",756,47,8
"CH","US",2012,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",NA,3,"ivory carvings","","T","O",6943,"United States","USA",840,38,-97,"Switzerland","CHE",756,47,8
"CH","FR",2003,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",4,NA,"ivory carvings","","P","O",4104,"France","FRA",250,46,2,"Switzerland","CHE",756,47,8
"CH","CA",2011,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",88,NA,"ivory pieces","","P","O",6271,"Canada","CAN",124,60,-95,"Switzerland","CHE",756,47,8
"CH","IT",2011,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",4,NA,"carvings","","T","O",6411,"Italy","ITA",380,42.8333,12.8333,"Switzerland","CHE",756,47,8
"CH","GB",1981,"II","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"IT",NA,1,"ivory carvings","","","",161,"United Kingdom","GBR",826,54,-2,"Switzerland","CHE",756,47,8
"CH","GB",1979,"II","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",NA,211,"ivory carvings","","","",42,"United Kingdom","GBR",826,54,-2,"Switzerland","CHE",756,47,8
"CH","FR",2003,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",1,NA,"feet","","P","O",4101,"France","FRA",250,46,2,"Switzerland","CHE",756,47,8
"CH","IT",2007,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",1,NA,"ivory carvings","","P","O",5202,"Italy","ITA",380,42.8333,12.8333,"Switzerland","CHE",756,47,8
"CH","NL",2002,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",NA,9,"ivory carvings","sets","","O",3870,"Netherlands","NLD",528,52.5,5.75,"Switzerland","CHE",756,47,8
"CH","BE",1991,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",NA,1,"ivory carvings","","P","",1046,"Belgium","BEL",56,50.8333,4,"Switzerland","CHE",756,47,8
"CH","FR",1997,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",NA,3,"ivory carvings","sets","","O",2251,"France","FRA",250,46,2,"Switzerland","CHE",756,47,8
"CH","AT",2003,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",3,NA,"ivory carvings","","P","O",4001,"Austria","AUT",40,47.3333,13.3333,"Switzerland","CHE",756,47,8
"CH","FR",2009,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",1,NA,"carvings","","E","O",5725,"France","FRA",250,46,2,"Switzerland","CHE",756,47,8
"CH","FR",2010,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"",1,NA,"carvings","","Q","O",6043,"France","FRA",250,46,2,"Switzerland","CHE",756,47,8
"CH","FR",1992,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",NA,7,"ivory carvings","","","O",1246,"France","FRA",250,46,2,"Switzerland","CHE",756,47,8
"CH","FR",2014,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",NA,3,"piano keys","","P","O",7610,"France","FRA",250,46,2,"Switzerland","CHE",756,47,8
"CH","FR",2000,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",NA,16,"ivory carvings","","","W",3199,"France","FRA",250,46,2,"Switzerland","CHE",756,47,8
"CH","US",2013,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",1,NA,"ivory carvings","","P","O",7399,"United States","USA",840,38,-97,"Switzerland","CHE",756,47,8
"CH","PH",2013,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",NA,34,"ivory carvings","","T","O",7329,"Philippines","PHL",608,13,122,"Switzerland","CHE",756,47,8
"CH","DE",1993,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",NA,3,"ivory carvings","","","O",1433,"Germany","DEU",276,51,9,"Switzerland","CHE",756,47,8
"CH","US",2002,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",1,NA,"skin pieces","","P","O",3924,"United States","USA",840,38,-97,"Switzerland","CHE",756,47,8
"CH","US",2010,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",NA,2,"ivory carvings","","T","O",6191,"United States","USA",840,38,-97,"Switzerland","CHE",756,47,8
"CH","NL",1999,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",1,NA,"carvings","","T","O",2953,"Netherlands","NLD",528,52.5,5.75,"Switzerland","CHE",756,47,8
"CH","DE",2004,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",NA,143,"ivory carvings","","","O",4367,"Germany","DEU",276,51,9,"Switzerland","CHE",756,47,8
"CH","DE",2015,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",45,54,"ivory carvings","","T","O",7922,"Germany","DEU",276,51,9,"Switzerland","CHE",756,47,8
"CH","SG",1995,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",NA,12,"ivory carvings","","","O",1874,"Singapore","SGP",702,1.3667,103.8,"Switzerland","CHE",756,47,8
"CH","DE",2008,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",11,22,"ivory carvings","sets","T","O",5411,"Germany","DEU",276,51,9,"Switzerland","CHE",756,47,8
"CH","ES",2012,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",NA,3,"ivory pieces","","Q","O",6738,"Spain","ESP",724,40,-4,"Switzerland","CHE",756,47,8
"CH","AT",2004,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",1,NA,"ivory pieces","","T","O",4296,"Austria","AUT",40,47.3333,13.3333,"Switzerland","CHE",756,47,8
"CH","PL",1997,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",NA,1,"ivory carvings","sets","","O",2355,"Poland","POL",616,52,20,"Switzerland","CHE",756,47,8
"CH","FR",2013,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"MO",12.5,NA,"carvings","","T","O",7175,"France","FRA",250,46,2,"Switzerland","CHE",756,47,8
"CH","FR",2006,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",4,NA,"ivory carvings","sets","P","O",4902,"France","FRA",250,46,2,"Switzerland","CHE",756,47,8
